1,"Cuidado básico",1,50,40
2,"Paseos diarios",1,30,25
3,"Alimentación especial",0,60,55
4,"Servicio de baño",1,45,40
5,"Juego en grupo",1,25,20
6,"Atención veterinaria",0,70,65
7,"Adiestramiento básico",1,55,50
8,"Cuidado nocturno",1,40,35
9,"Servicio de peluquería",0,65,60
10,"Actividades recreativas",1,30,25
11,"Cuidado de mascotas exóticas",1,80,75
12,"Servicio de masajes relajantes",0,90,85
13,"Caminatas en la naturaleza",1,35,30
14,"Entrenamiento avanzado",0,70,65
15,"Cuidado de animales enfermos",1,55,50
16,"Paseo en bicicleta",1,25,20
17,"Atención geriátrica",0,75,70
18,"Recogida y entrega a domicilio",1,40,35
19,"Servicio de acicalamiento",0,60,55
20,"Diversión en la piscina",1,30,25
21,"Cuidado durante las vacaciones",1,65,60
22,"Paseo por la playa",0,35,30
23,"Asesoramiento nutricional",1,50,45
24,"Cuidado de aves exóticas",1,75,70
25,"Servicio de adopción",0,80,75
26,"Juguetes interactivos",1,30,25
27,"Cuidado dental",0,55,50
28,"Talleres de entrenamiento",1,40,35
29,"Terapia de relajación",0,60,55
30,"Cuidado especializado",1,70,30.99
